"station","latitude","longitude","numDocks","timestamp","year","month","day","hour","weekday","weekhour","isHoliday","windMaxSpeed.m.s","windMeanSpeed.m.s","windDirection.grades","temperature.C","relHumidity.HR","airPressure.mb","precipitation.l.m2","bikes_3h_ago","full_profile_3h_diff_bikes","full_profile_bikes","short_profile_3h_diff_bikes","short_profile_bikes","bikes","Id"
7,39.474715,-0.37932,20,1398895200,2014,5,1,0,"Thursday",71,1,0.6,0.1,360,18.7,58,1003,0,2,5.25412660983131,5.25519825918762,4.44873699851412,4.47102526002972,10,198121
7,39.474715,-0.37932,20,1398898800,2014,5,1,1,"Thursday",72,1,1.5,0.4,320,18.3,57,1003,0,4,5.2540507859734,5.25518283469326,4.45022288261516,4.47251114413076,5,198122
7,39.474715,-0.37932,20,1398902400,2014,5,1,2,"Thursday",73,1,3.7,1.7,317,17.8,57,1003,0,10,5.25433770630554,5.25534872476732,4.46062407132244,4.47994056463596,8,198123
7,39.474715,-0.37932,20,1398906000,2014,5,1,3,"Thursday",74,1,5,2.5,322,17.4,56,1003,0,10,5.25462459194777,5.25563546262162,4.47102526002972,4.49182763744428,10,198124
7,39.474715,-0.37932,20,1398909600,2014,5,1,4,"Thursday",75,1,5.5,3.1,323,17.5,56,1002,0,5,5.25460920026597,5.25592216582064,4.47251114413076,4.5037147102526,10,198125
7,39.474715,-0.37932,20,1398913200,2014,5,1,5,"Thursday",76,1,6.1,3.1,321,17.3,56,1002,0,8,5.2547751450677,5.2560879811469,4.47994056463596,4.51263001485884,8,198126
7,39.474715,-0.37932,20,1398916800,2014,5,1,6,"Thursday",77,1,5.2,3.1,322,17.1,55,1002,0,10,5.25506195225144,5.25631419939577,4.49182763744428,4.52303120356612,9,198127
7,39.474715,-0.37932,20,1398920400,2014,5,1,7,"Thursday",78,1,6.2,3.4,319,17,55,1002,0,10,5.25534872476732,5.25660080961875,4.5037147102526,4.53640416047548,10,198128
7,39.474715,-0.37932,20,1398924000,2014,5,1,8,"Thursday",79,1,5.8,2.6,320,17.3,55,1003,0,8,5.2555145947906,5.25694780086999,4.51263001485884,4.55126300148588,11,198129
7,39.474715,-0.37932,20,1398927600,2014,5,1,9,"Thursday",80,1,1.8,0.3,322,20.1,47,1004,0,9,5.25574087503021,5.25723433818643,4.52303120356612,4.56612184249629,10,198130
7,39.474715,-0.37932,20,1398931200,2014,5,1,10,"Thursday",81,1,1,0.3,156,23.3,37,1003,0,10,5.25602755453502,5.25764165760541,4.53640416047548,4.57949479940565,12,198131
7,39.474715,-0.37932,20,1398934800,2014,5,1,11,"Thursday",82,1,4.3,1.3,146,24,34,1003,0,11,5.2563746223565,5.25774690425853,4.55126300148588,4.58543833580981,7,198132
7,39.474715,-0.37932,20,1398938400,2014,5,1,12,"Thursday",83,1,7,2.7,129,23.4,36,1003,0,10,5.25666122892877,5.25797294032375,4.56612184249629,4.59286775631501,9,198133
7,39.474715,-0.37932,20,1398942000,2014,5,1,13,"Thursday",84,1,7.3,2.5,147,23.5,39,1003,0,12,5.25706863218946,5.25819894908498,4.57949479940565,4.60029717682021,9,198134
7,39.474715,-0.37932,20,1398945600,2014,5,1,14,"Thursday",85,1,9,4.6,130,23,41,1003,0,7,5.25717392617652,5.2583645367798,4.58543833580981,4.61069836552749,8,198135
7,39.474715,-0.37932,20,1398949200,2014,5,1,15,"Thursday",86,1,12.7,8.1,135,22.1,43,1002,0,9,5.25740002416334,5.25859049459508,4.59286775631501,4.62109955423477,9,198136
